Wiki,dbname,DP-means (4 clusters),DP-means (5 clusters),Hierarchical (10 clusters),Hierarchical (4 clusters),Hierarchical (5 clusters),k-means (4 clusters),k-means (5 clusters),k-means (10 clusters),Model-based (4 clusters)
Korean Wikibooks,kowikibooks,1,1,4,3,3,2,3,2,9
Samogitian Wikipedia,bat_smgwiki,1,2,6,3,4,4,3,2,5
Vietnamese Wikibooks,viwikibooks,1,2,8,3,3,2,3,2,9
Swedish Wikibooks,svwikibooks,1,2,4,3,3,2,3,2,5
Iloko Wikipedia,ilowiki,1,2,6,3,4,4,3,2,7
Azerbaijani Wikiquote,azwikiquote,1,2,4,3,3,2,3,2,7
Northern Frisian Wikipedia,frrwiki,1,2,6,3,4,4,3,2,7
Portuguese Wikivoyage,ptwikivoyage,1,2,6,3,4,2,3,2,5
Croatian Wikiquote,hrwikiquote,1,1,8,3,3,2,3,2,7
Gan Chinese Wikipedia,ganwiki,1,2,4,3,3,4,3,2,1
Japanese Wikiquote,jawikiquote,1,2,4,3,3,2,3,2,9
Interlingue Wikipedia,iewiki,1,2,6,3,4,2,3,2,7
Erzya Wikipedia,myvwiki,1,2,6,3,4,2,3,2,10
Shona Wikipedia,snwiki,1,2,6,3,4,2,3,2,1
Bishnupriya Wikipedia,bpywiki,1,2,3,1,1,4,3,7,10
Tulu Wikipedia,tcywiki,1,1,6,3,4,2,5,5,1
Crimean Turkish Wikipedia,crhwiki,1,2,6,3,4,2,3,2,7
Bosnian Wikiquote,bswikiquote,1,2,4,3,3,2,3,2,9
Romansh Wikipedia,rmwiki,1,2,6,3,4,2,3,2,5
Japanese Wikinews,jawikinews,1,2,4,3,3,2,3,2,5
Dutch Wikiquote,nlwikiquote,1,2,4,3,3,2,3,2,5
Vietnamese Wikisource,viwikisource,1,2,4,3,3,2,3,2,9
Ossetic Wikipedia,oswiki,1,2,6,3,4,4,3,2,7
Tuvinian Wikipedia,tyvwiki,1,1,6,3,4,2,5,2,10
Picard Wikipedia,pcdwiki,1,2,6,3,4,2,3,2,5
Kabyle Wikipedia,kabwiki,1,2,3,1,1,2,3,8,3
Zulu Wikipedia,zuwiki,1,2,6,3,4,2,3,2,7
Armenian Wikiquote,hywikiquote,1,1,3,1,1,2,3,2,7
Icelandic Wiktionary,iswiktionary,1,2,6,3,4,4,3,7,7
Veps Wikipedia,vepwiki,1,2,6,3,4,2,3,2,5
Slovak Wiktionary,skwiktionary,1,2,6,3,4,4,3,7,7
Nahuatl Wikipedia,nahwiki,1,2,6,3,4,4,3,2,7
Pennsylvania German Wikipedia,pdcwiki,1,2,6,3,4,2,3,2,5
Northern Sami Wikipedia,sewiki,1,2,6,3,4,2,3,2,10
Tibetan Wikipedia,bowiki,1,2,6,3,4,2,3,2,1
Malayalam Wikisource,mlwikisource,1,2,6,3,4,4,3,2,7
Mirandese Wikipedia,mwlwiki,1,2,6,3,4,2,3,2,7
Arabic Wikinews,arwikinews,1,2,5,1,1,4,3,2,6
Sanskrit Wikisource,sawikisource,1,2,6,3,4,2,3,2,7
Telugu Wikisource,tewikisource,1,2,6,3,4,2,3,2,7
Tagalog Wiktionary,tlwiktionary,1,2,3,1,1,4,3,7,9
Corsican Wikipedia,cowiki,1,2,8,3,3,2,3,2,10
Kannada Wikisource,knwikisource,1,2,6,3,4,2,3,2,7
Gilaki Wikipedia,glkwiki,1,2,5,1,1,2,3,2,6
Dutch Wikinews,nlwikinews,4,4,9,4,5,3,2,3,2
Oromo Wikipedia,omwiki,1,2,4,3,3,2,3,2,1
Esperanto Wiktionary,eowiktionary,1,2,10,3,4,4,3,7,7
Papiamento Wikipedia,papwiki,1,2,6,3,4,2,3,2,10
Slovak Wikiquote,skwikiquote,1,2,4,3,3,2,3,2,9
Xhosa Wikipedia,xhwiki,1,1,6,3,4,2,5,2,5
Arpitan Wikipedia,frpwiki,1,2,6,3,4,2,3,2,7
Ido Wiktionary,iowiktionary,2,2,10,3,4,4,3,7,7
Northern Luri Wikipedia,lrcwiki,1,2,5,1,1,2,3,2,6
Lezghian Wikipedia,lezwiki,1,2,6,3,4,2,3,2,5
Hindi Wikiquote,hiwikiquote,1,1,4,3,3,2,5,5,7
Lower Sorbian Wikipedia,dsbwiki,1,2,6,3,4,2,3,2,7
Aymara Wikipedia,aywiki,1,2,6,3,4,2,3,2,5
Kalmyk Wikipedia,xalwiki,1,2,4,3,3,2,3,2,8
Banjar Wikipedia,bjnwiki,1,2,6,3,4,2,3,2,7
Livvi-Karelian Wikipedia,olowiki,4,4,9,4,5,3,2,3,2
Tetum Wikipedia,tetwiki,1,1,6,3,4,2,3,2,5
Swedish Wikiquote,svwikiquote,1,1,4,3,3,2,3,2,9
Afrikaans Wiktionary,afwiktionary,1,2,6,3,4,4,3,2,7
Finnish Wikiversity,fiwikiversity,1,1,6,3,4,2,5,5,7
Slovenian Wikiversity,slwikiversity,1,1,6,3,4,2,5,5,7
Kinyarwanda Wikipedia,rwwiki,1,2,6,3,4,2,3,2,5
Croatian Wikisource,hrwikisource,1,2,4,3,3,2,3,2,9
Newari Wikipedia,newwiki,1,2,6,3,4,4,3,7,5
